home_team_id,away_team_id,artem_home_score,artem_away_score,oleg_home_score,oleg_away_score
18,17,2,2,1,2
1,25,2,0,4,1
7,2,3,1,1,1
6,24,2,1,2,0
3,8,2,1,2,2

8,6,1,3,0,2
24,3,2,1,1,1
10,15,3,1,1,0
2,18,2,0,2,1
5,9,2,2,1,2
25,20,3,3,1,2
17,1,1,3,0,2

9,10,2,3,2,2
22,17,1,3,0,1
18,24,2,1,2,2
7,25,4,1,3,0
15,11,1,1,1,0
20,8,2,3,1,2
19,5,2,1,1,0
6,16,2,1,2,0
1,2,3,1,2,0
3,4,2,1,2,0

25,18,1,2,0,1
24,22,1,1,1,2
11,1,2,1,0,2
4,15,1,2,0,2
2,20,2,0,3,1
16,19,2,3,1,1
5,6,2,1,1,2

1,3,3,1,2,1
11,20,2,1,2,2
16,9,1,2,2,3
8,24,2,1,1,1
4,6,1,2,0,3
17,7,1,4,0,3

19,6,0,2,100,100
11,25,2,1,2,1
8,22,3,1,2,1
9,24,3,1,2,0
5,16,2,1,0,2
4,18,2,1,2,2
2,3,2,1,2,2
20,17,2,1,0,1
10,1,1,3,0,2
15,7,1,4,0,3

3,10,2,3,2,1
16,8,2,1,2,2
